src,dst,generated,served
19,1,0,0
19,2,0,0
19,3,0,0
19,4,0,0
19,5,0,0
19,6,0,0
19,7,0,0
19,8,0,0
19,9,0,0
19,10,0,0
19,11,0,0
19,12,0,0
19,13,0,0
19,14,0,0
19,15,0,0
19,16,0,0
19,17,0,0
19,18,0,0
19,20,157,156
19,21,168,166
19,22,167,157
19,23,174,145
19,24,152,150
19,25,181,181
19,26,174,163
19,27,179,155
20,0,0,0
20,1,0,0
20,2,0,0
20,3,0,0
20,4,0,0
20,5,0,0
20,6,0,0
20,7,0,0
20,8,0,0
20,9,0,0
20,10,0,0
20,11,0,0
20,12,0,0
20,13,0,0
20,14,0,0
20,15,0,0
20,16,0,0
20,17,0,0
20,18,0,0
20,19,0,0
20,21,160,152
20,22,145,145
20,23,182,170
20,24,153,153
20,25,154,154
20,26,147,142
20,27,184,175
21,0,0,0
21,1,0,0
21,2,0,0
21,3,0,0
21,4,0,0
21,5,0,0
21,6,0,0
21,7,0,0
21,8,0,0
21,9,0,0
21,10,0,0
21,11,0,0
21,12,0,0
21,13,0,0
21,14,0,0
21,15,0,0
21,16,0,0
21,17,0,0
21,18,0,0
21,19,0,0
21,20,0,0
21,22,154,152
21,23,165,164
21,24,156,151
21,25,163,156
21,26,184,181
21,27,181,176
22,0,0,0
22,1,0,0
22,2,0,0
22,3,0,0
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,0,0
22,10,0,0
22,11,0,0
22,12,0,0
22,13,0,0
22,14,0,0
22,15,0,0
22,16,0,0
22,17,0,0
22,18,0,0
22,19,0,0
22,20,0,0
22,21,0,0
22,23,165,164
22,24,168,153
22,25,172,166
22,26,169,169
22,27,178,177
23,0,0,0
23,1,0,0
23,2,0,0
23,3,0,0
23,4,0,0
23,5,0,0
23,6,0,0
23,7,0,0
23,8,0,0
23,9,0,0
23,10,0,0
23,11,0,0
23,12,0,0
23,13,0,0
23,14,0,0
23,15,0,0
23,16,0,0
23,17,0,0
23,18,0,0
23,19,0,0
23,20,0,0
23,21,0,0
23,22,0,0
23,24,169,149
23,25,190,177
23,26,180,176
23,27,171,171
24,0,0,0
24,1,0,0
24,2,0,0
24,3,0,0
24,4,0,0
24,5,0,0
24,6,0,0
24,7,0,0
24,8,0,0
24,9,0,0
24,10,0,0
24,11,0,0
24,12,0,0
24,13,0,0
24,14,0,0
24,15,0,0
24,16,0,0
24,17,0,0
24,18,0,0
24,19,0,0
24,20,0,0
24,21,0,0
24,22,0,0
24,23,0,0
24,25,167,167
24,26,170,161
24,27,201,183
25,0,0,0
25,1,0,0
25,2,0,0
25,3,0,0
25,4,0,0
25,5,0,0
25,6,0,0
25,7,0,0
25,8,0,0
25,9,0,0
25,10,0,0
25,11,0,0
25,12,0,0
25,13,0,0
25,14,0,0
25,15,0,0
25,16,0,0
25,17,0,0
25,18,0,0
25,19,0,0
25,20,0,0
25,21,0,0
25,22,0,0
25,23,0,0
25,24,0,0
25,26,158,150
25,27,165,153
26,0,0,0
26,1,0,0
26,2,0,0
26,3,0,0
26,4,0,0
26,5,0,0
26,6,0,0
26,7,0,0
26,8,0,0
26,9,0,0
26,10,0,0
26,11,0,0
26,12,0,0
26,13,0,0
26,14,0,0
26,15,0,0
26,16,0,0
26,17,0,0
26,18,0,0
26,19,0,0
26,20,0,0
26,21,0,0
26,22,0,0
26,23,0,0
26,24,0,0
26,25,0,0
26,27,180,180
27,0,0,0
27,1,0,0
27,2,0,0
27,3,0,0
27,4,0,0
27,5,0,0
27,6,0,0
27,7,0,0
27,8,0,0
27,9,0,0
27,10,0,0
27,11,0,0
27,12,0,0
27,13,0,0
27,14,0,0
27,15,0,0
27,16,0,0
27,17,0,0
27,18,0,0
27,19,0,0
27,20,0,0
27,21,0,0
27,22,0,0
27,23,0,0
27,24,0,0
27,25,0,0
27,26,0,0
